,seq
119,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
120,"['Logon_PB', 'Bypass_Authentication']"
121,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
122,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
123,"['Logon_PB', 'Bypass_Authentication']"
124,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
125,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
126,"['Logon_PB', 'Bypass_Authentication']"
127,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
128,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
129,"['Logon_PB', 'Bypass_Authentication']"
130,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
131,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
132,"['Logon_PB', 'Bypass_Authentication']"
133,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
134,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
135,"['Logon_PB', 'Bypass_Authentication']"
136,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
137,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
138,"['Logon_PB', 'Bypass_Authentication']"
139,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
140,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
141,"['Logon_PB', 'Bypass_Authentication']"
142,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
143,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
144,"['Logon_PB', 'Bypass_Authentication']"
145,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
146,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
147,"['Logon_PB', 'Bypass_Authentication']"
148,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
149,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
150,"['Logon_PB', 'Bypass_Authentication']"
151,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
152,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
153,"['Logon_PB', 'Bypass_Authentication']"
154,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
155,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
156,"['Logon_PB', 'Bypass_Authentication']"
157,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
158,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
159,"['Logon_PB', 'Bypass_Authentication']"
160,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
161,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
162,"['Logon_PB', 'Bypass_Authentication']"
163,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
164,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
165,"['Logon_PB', 'Bypass_Authentication']"
166,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
167,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
168,"['Logon_PB', 'Bypass_Authentication']"
169,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
170,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
171,"['Logon_PB', 'Bypass_Authentication']"
172,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
173,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
174,"['Logon_PB', 'Bypass_Authentication']"
175,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
176,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
177,"['Logon_PB', 'Bypass_Authentication']"
178,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
179,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
180,"['Logon_PB', 'Bypass_Authentication']"
181,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
182,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
183,"['Logon_PB', 'Bypass_Authentication']"
184,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
185,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
186,"['Logon_PB', 'Bypass_Authentication']"
187,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
188,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
189,"['Logon_PB', 'Bypass_Authentication']"
190,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
191,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
192,"['Logon_PB', 'Bypass_Authentication']"
193,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
194,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
195,"['Logon_PB', 'Bypass_Authentication']"
196,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
197,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
198,"['Logon_PB', 'Bypass_Authentication']"
199,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
200,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
201,"['Logon_PB', 'Bypass_Authentication']"
202,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
203,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
204,"['Logon_PB', 'Bypass_Authentication']"
205,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
206,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
207,"['Logon_PB', 'Bypass_Authentication']"
208,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
209,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
210,"['Logon_PB', 'Bypass_Authentication']"
211,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP']"
212,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']"
213,"['Logon_PB', 'Bypass_Authentication']"
